date,text,place
3/2/2019 13:33:07,Соленый огурец,Электросталь Московской области
3/2/2019 13:56:01,Солёный огурец,Якутия
3/2/2019 13:57:15,"Солёный огурец. На полу валяется, никто его не ест. А муха подлетела — понюхала и съела.",Сургут
3/2/2019 14:12:33,"соленый огурец: по полу катается, никто его не ест",г. Владимир
3/2/2019 14:20:11,Турецкий барабан,Москва
3/2/2019 14:32:44,"Жадина - говядина, большая шоколадина, на полу валяется, никто её не ест",Казань
3/2/2019 14:44:15,"Жадина-говядина, солёный огурец, на полу валяется, никто его не ест. Муха прилетела, понюхала и съела.","р.п. Быково, Быковский р-н, Волгоградская область"
3/2/2019 14:47:47,"Соленый огурец. На полу валяется, никто ее не ест","Кострома, Костромская обл."
3/2/2019 14:48:05,солёный огурец - на полу валяется никто его не ест.,
3/2/2019 14:59:28,"соленый огурец, по полу валяется никто его не ест.",Харьков
3/2/2019 15:10:01,Соленый огурец на полу валяется никто его не ест муха прилетела понюхала и съела,Самара
3/2/2019 15:19:43,турецкий барабан,Москва
3/2/2019 15:23:03,"Соленый огурец, на полу валяется и никто его не есть","Казахстана, г. Караганда"
3/2/2019 15:37:53,"солёный огурец, по полу валяется, никто его не ест. ",Вологда
3/2/2019 15:42:54,"Зеленый огурец, на полу валяется никто его не ест",Татарстан
3/2/2019 15:48:24,Турецкий барабан,"Московская область, Люберцы"
3/2/2019 15:49:28,в жопе шоколадина,Ростов-на-Дону
3/2/2019 15:55:51,"соленый огурец, на полу валяется, никто его не ест","Новосибирская область, город Новосибирск"
3/2/2019 16:00:38,солёный огурец,"Внуково, Московская область"
3/2/2019 16:11:58,соленый огурец,Москва
3/2/2019 16:35:30,Турецкий барабан,Москва
3/2/2019 16:42:38,Тухлый виноград,Москва
3/2/2019 17:03:31,"Турецкий барабан.
Кто на нем играет — {имя}-такаран",город Вологда
3/2/2019 17:23:45,"Пустая шоколадина, всю помойку облизала и спасибо не сказала","Иркутск, Россия"
3/2/2019 17:55:54,"соленый огурец, на полу валяется, никто его не ест","республика Башкортостан, город Уфа"
3/2/2019 18:01:34,солёный огурец,"Старый Оскол, Белгородская область"
3/2/2019 18:03:09,"Соленый огурец, по полу катается, никто его не ест","Николаев, Николаевская область"
3/2/2019 18:15:14,соленый помидор,Санкт-Петербург / Казахстан
3/2/2019 18:30:09,"Солёный огурец, на полу валяется - никто его не ест!","Нижегородская область, Нижний Новгород"
3/2/2019 18:31:18,Сырая шоколадина,"Нижегородская область, Нижний Новгород"
3/2/2019 18:44:00,пустая шоколадина,Владивосток
3/2/2019 18:44:42,соленый огурец,Владивосток
3/2/2019 18:45:29,Турецкий барабан. Кто на нём играет - рыжий таракан.,Москва
3/2/2019 18:46:15,булка шоколадина,"Чита, пригород"
3/2/2019 19:01:36,"соленый огурец, на полу валяется - никто его не ест",Самара (Куйбышев)
3/2/2019 19:02:54,Турецкий барабан,Москва
3/2/2019 19:05:23,Соленый огурец,Новосибирск
3/2/2019 19:05:47,Турецкий барабан,Москва
3/2/2019 19:07:16,"турецкий барабан, кто на нем играет - %имя% - таракан",Москва
3/2/2019 19:22:53,"""...соленый огурец, / На полу валяется, / Никто ее не ест"". Или ""по полу""? Не помню.",Сургут Тюменской обл. Лето проводила в Кемеровской обл.
3/2/2019 19:24:50,"Солёный огурец, на полу валаяется, никто его не ест",Ростов-на-Дону
3/2/2019 20:00:36,соленый огурец,Томск
3/2/2019 20:02:19,"Солёный огурец, по полу валяется, никто его не ест, муха прилетела, понюхала и съела ",Краснодар
3/2/2019 20:03:29,"турецкий барабан, кто на нем играет? Username таракан. :)",Москва
3/2/2019 20:12:25,Пустая шоколадина,Новосибирская область
3/2/2019 20:48:22,кислое мацони,"Тбилиси, Ленинокан, Санкт-Петербург"
3/2/2019 20:51:44,"соленый огурец, по полу валяется, никто его не ест","Балашов, Саратовская область"
3/2/2019 21:00:13,солёный огурец,"станица Новомалороссийская, Краснодарский край"
3/2/2019 21:08:24,"Соленый огурец, на земле валяется, никто его не ест","Петрозаводск, Республика Карелия"
3/2/2019 22:03:54,Соленый огурец,
3/2/2019 22:46:04,"солёный огурец, никто его не любит, никто его не ест",г. Астрахань
3/2/2019 22:47:18,"Соленый огурец, по полу валяется, никто его не ест",Воронеж
3/2/2019 22:49:41,"турецкий барабан, кто на нём играет - Х таракан",москва
3/2/2019 22:55:20,"соленый огурец. По полу катается, никто его не ест",Тверская область
3/2/2019 23:06:06,"солёный огурец, на полу валяется, никто его не ест.",г. Заполярный Мурманской обл.
3/2/2019 23:08:03,"пустая шоколадина, рот сосисками набит, чтобы не был он сердит.",г. Ленинград
3/2/2019 23:18:11,соленый огурец никто его не любит никто его не ест,Санкт-Петербург
3/2/2019 23:18:20,соленый огурец,Санкт-Петербург
3/2/2019 23:27:00,соленый огурец на полу валяется никто его не ест,Санкт-Петербург
3/2/2019 23:33:20,гнилая шоколадина,иваново
3/2/2019 23:41:28,Турецкий барабан. Кто на нем играет? (Мишка)-таракан,Москва
3/2/2019 23:41:31,Пустая шоколадина,Ленинград
3/2/2019 23:42:26,"соленый огурец, по полу валяется никто его не ест",Ленинград
3/2/2019 23:43:42,Пустая шоколадина,Санкт-Петербург
3/2/2019 23:55:24,Жадина-говядина в жопе перекладина,Санкт-Петербург
3/2/2019 23:57:04,"Жадина-говядина пустая шоколадина, соленый огурец. На полу валяется никто его не ест. Муха прилетела, понюхала и съела",Санкт-Петербург
3/2/2019 23:58:21,Соленый огурец,Владикавказ
3/3/2019 0:06:39,Пустая шоколадина,Санкт-Петербург
3/3/2019 0:09:11,"...Солёный огурец, на полу валяется, никто его не ест)","г.Усть-Лабинск, Краснодарский край"
3/3/2019 0:23:07,"Соленый огурец. На полу валяется, никто его не ест",Братск Иркутской
3/3/2019 0:45:55,Турецкий барабан. Кто на нём играет - /имя/ таракан,Пенза
3/3/2019 2:15:32,в жопе шоколадина,"Вологодская область, п. Вохтога"
3/3/2019 2:20:41,солёный огурец!,Новосибирск
3/3/2019 3:08:56,"соленый огурец, по полу валяется никто его не ест!",Клайпеда ЛССР
3/3/2019 3:41:26,"Солёный огурец, по полу валяется, никто его не ест ",Курск
3/3/2019 4:44:43,"Солёный огурец, на полу валяется, никто его не ест.","Арзамас, Горьковской области"
3/3/2019 5:45:05,"Соленый огурец, на полу валяется, никто его не ест. ","Амурская область, Белогорск. "
3/3/2019 6:21:42,Пустая шоколадина,Санкт-Петербург
3/3/2019 6:37:04,Солёный огурец.по полу валяется никто её не ест,"Томск, Томская область"
3/3/2019 7:13:00,Пустая шоколадина,"Свердловская область, Нижний Тагил"
3/3/2019 8:29:22,"Турецкий барабан, кто на нём играет? Имя - таракан!",Москва
3/3/2019 8:31:09,"соленый огурец; муха прилетела, понюхала и съела","деревня Яковлево, Московская область"
3/3/2019 8:33:22,"Солёный огурец, по полу валяется,никто его не ест",Луганск
3/3/2019 9:22:45,Зелёный огурец. По полу валяется - никто его не ест,
3/3/2019 9:35:45,"Соленый огурец, по полу валяется, никто его не ест.",Г.  Отрадный Самарской области
3/3/2019 9:46:52,Турецкий барабан. Кто на нем играет <имярек> таракан!,Москва
3/3/2019 9:48:38,соленый огурец,Рига
3/3/2019 10:03:56,"Пустая шоколадина
Всю тарелку облизала
А спасибо не сказала.",Санкт-Петербург
3/3/2019 10:08:46,Солёный огурец,Беларусь
3/3/2019 10:37:52,Соленый огурец...,Краснодон - Москва
3/3/2019 10:53:53,Вечно голодный,
3/3/2019 11:13:27,"Соленый огурец, на полу валяется, никто его не ест",Санкт-Петербург
3/3/2019 11:25:00,"Соленый огурец, по полу валяется, никто его не ест ","Самарская область, город Отрадный "
3/3/2019 11:33:55,Пустая шоколадина,"Г. Орехово-Зуево, Московская область "
3/3/2019 11:36:08,"соленый огурец, кто меня обманет тот его и съест",Рязань
3/3/2019 11:48:14,"Зеленый огурец
На полу валяется
Никто его не есть",Днепр. Украина
3/3/2019 12:03:13,Булка-шоколадина,г. Киров Кировской обл.
3/3/2019 12:04:46,пустая шоколадина,"Запорожье, Запорожская область, Украина"
3/3/2019 12:15:14,в ж*пе шоколадина,"Город Тирасполь, Республика Молдова"
3/3/2019 12:34:58,"Соленый огурец, на полу валяется, никто его не ест",Калуга
3/3/2019 12:50:26,Соленый огурец,Мурманск
3/3/2019 13:30:07,"Солёный огурец, на полу валяется, никто его не ест","Балашиха, Подмосковье, "
3/3/2019 13:32:57,Пустая шоколадина,Санкт-Петербург
3/3/2019 13:34:44,пустая шоколадина,Денинград
3/3/2019 13:42:52,"Соленый огурец, по полу валяется, никто его не ест","Степногорск, Акмолинская область, Казахстан"
3/3/2019 14:00:36,Турецкий барабан,"Люберцы, Московская"
3/3/2019 14:02:12,Турецкий барабан,Москва
3/3/2019 14:17:30,"Турецкий барабан, кто на нем играет тот *имя* таракан!",Москва
3/3/2019 14:29:17,"солёный огурец, на полу валяется, никто его не ест.",Москва
3/3/2019 14:33:36,"солёный огурец, на полу валяется - никто его не ест.","г. Учкудук, Узбекистан"
3/3/2019 14:34:49,"Турецкий барабан. А кто на нем играет, тот (трус и хулиган?..)",Москва
3/3/2019 14:35:40,Солёный огурец,Казань
3/3/2019 14:55:49,Соленый огурец,Оренбургская область
3/3/2019 15:01:54,Турецкий барабан. Кто на нем играет - жирный таракан.,Москва
3/3/2019 15:42:20,Пустая шоколадина,Санкт-Петербург
3/3/2019 15:50:37,"Соленый огурец, на полу валяется, никто его не ест","Харьков, Украина"
3/3/2019 15:55:21,с соплями мармеладина,"поселок Кемер-Туган,  Казахстан"
3/3/2019 16:07:03,Турецкий барабан! Кто на нём играет? (Имя)-таракан!,Москва
3/3/2019 16:07:43,"Солёный огурец, на полу валяется, никто его не ест",
3/3/2019 16:29:48,..турецкий барабан. Кто на нем играет? Колька (любое имя) - таракан.,Москва
3/3/2019 16:33:24,"соленый огурец, на полу валяется, никто его не ест.","Химки, Московская область"
3/3/2019 16:50:39,Соленый огурец,"Калуга, Калужская область"
3/3/2019 16:58:27,Соленый огурец,Санкт-Петербург
3/3/2019 17:40:36,Пустая шоколадина,"В Петербурге, на Канонерском острове"
3/3/2019 17:54:53,Пустая шоколадина,Ленинград
3/3/2019 18:26:36,"Пустая шоколадина, соленый огурец",Ленинградская область
3/3/2019 19:19:58,"Соленый огурец, на полу валяется, никто его не ест",Волгоград
3/3/2019 19:35:43,Булка шоколадина,Г.Киров (Кировская область) и окрестности
3/3/2019 19:42:00,"Жадина говядина солёный огурец, на полу валяется никто его не ест.",Фрунзе КССР
3/3/2019 20:42:12,Турецкий барабан,Москва
3/3/2019 21:10:42,Большая шоколадина,Пермь
3/3/2019 21:37:05,Соленый  огурец на полу валяется никто его не ест,Армавир
3/3/2019 21:38:27,солёный огурец,"Ступино, Московская область"
3/3/2019 21:38:43,"Соленый помидор, на полу валяешся сам себя и ешь.",Кировская область
3/3/2019 21:46:26,соленый огурец.,Петровск Саратовская область
3/3/2019 21:48:39,"соленый огурец, на полу валяется никто его не ест",Петровск Саратовская область
3/3/2019 21:49:42,соленый огурец.,Петровск Саратовская область
3/3/2019 22:25:03,"Соленый огурец, по полу валяется- никто его не ест",Минск
3/3/2019 23:20:57,Соленый огурец,Литовская ССР
3/3/2019 23:31:14,Пустая шоколадина,Ленинград
3/3/2019 23:39:44,Попа шоколадина,"Агидель, Башкортостан"
3/3/2019 23:58:55,Соленый огурец,"Архангельская область, город Котлас "
3/4/2019 0:11:08,Солёный огурец,Минск
3/4/2019 0:15:38,турецкий барабан,"Москва, под Донецком, под Калугой"
3/4/2019 0:21:11,"Турецкий барабан, кто на нем играет? ..... - таракан!!!","Москва, Новые Черёмушки "
3/4/2019 0:31:30,Соленый огурец на полу валяется никто его не ест.,Москва и МО
3/4/2019 0:39:56,соленый огурец,"Стерлитамак, Республика Башкортостан"
3/4/2019 1:20:17,"Соленый огурец, по полу валяется, никто его не ест",Керчь
3/4/2019 1:27:55,жопа шоколадина,"Республика Башкортостан, город Стерлитамак"
3/4/2019 1:28:54,солёный огурец,Стерлитамак
3/4/2019 3:11:07,Пустая шоколадина,Г.Иркутск
3/4/2019 4:52:56,Соленый огурец,"п. Пестяки, Ивановская область"
3/4/2019 6:41:50,Турецкий барабан,Москва
3/4/2019 6:49:18,Слоёный огурец,Душанбе
3/4/2019 7:32:12,пустая шоколадина,"Нарьян-Мар, Ненецкий АО"
3/4/2019 7:50:58,Жадина-говядина - пустая шоколадина,"с. Каменно-Озёрное, Оренбургской обл."
3/4/2019 7:58:41,Солёный огурец,Кубань
3/4/2019 8:09:47,"Соленый огурец. По полу валяется, никто его не ест. ",Посёлок Кедровый Красноярского края
3/4/2019 8:31:02,"... солёный огурец. Кто её не любит, того она и съест. ",Московская область г Красногорск
3/4/2019 8:39:46,"Пустая шоколадина, на полу валяется, никто её не ест",Москва
3/4/2019 8:40:56,"Соленый огурец, на полу валяется, никто его не ест",Москва
3/4/2019 9:03:03,"Соленый огурец. На полу валяется, никто его не ест.","Краснознаменск, МО"
3/4/2019 9:24:37,Пустая шоколадина,Улан-Удэ
3/4/2019 9:49:00,Тупецкий барабаг,Москва
3/4/2019 9:57:21,солёный огурец,Волгоград
3/4/2019 10:27:57,Пустая шоколадина,"Асбест, Свердловская область"
3/4/2019 10:41:18,"Солёный огурец, по полу валяется, никто его не ест","Сургут, Тюменская область"
3/4/2019 10:56:20,"Пустая шоколадина, Муха прилетела, понюхала и съела!",Владивосток
3/4/2019 11:04:30,Солёный огурец на полу валяется никто его не ест,Южный Урал. Магнитогорск
3/4/2019 11:28:18,"""...,соленый огурец на полу валяется, никто его не ест.""","п. Плеханово, Тульская область"
3/4/2019 11:47:29,турецкий барабан,Украина
3/4/2019 11:55:39,солёный огурец,Москва
3/4/2019 11:57:26,Булка шоколадина,Чита
3/4/2019 12:27:40,Соленый огурец. По полу валяется - никто его не ест.,Брест (Беларусь)
3/4/2019 12:36:16,пустая шоколадина,Санкт-Петербург
3/4/2019 12:39:20,в попе шоколадина,Рыбинск Ярославская обл
3/4/2019 12:56:29,"Турецкий барабан, кто на нем играет - имярек таракан)",Москва
3/4/2019 12:59:59,соленый огурец,братск иркутская область
3/4/2019 13:12:21,солёный огурец,"Ейск, Краснодарский край"
3/4/2019 13:37:42,"Соленый огурец, по полю валяется, никто его не ест.","Мурманская область, г. Мончегорск"
3/4/2019 14:36:30,"пустая шоколадина, солёный огурец, на полу валяется, никто её не ест","Новосибирск, Новосибирская область"
3/4/2019 14:57:04,"Солёный огурец, по полу катается, никто тебя не ест!","Барнаул, Алтайский край"
3/4/2019 16:08:07,зелёный огурец,
3/4/2019 16:36:54,говняна шоколадина,Северодвинск
3/4/2019 17:04:11,Пустая шоколадина,Город Воркута республики Коми
3/4/2019 17:31:43,"пустая шоколадина. На полу валяется, никто её не ест.",Петергоф
3/4/2019 17:39:56,соленый огурец,Архангельск
3/4/2019 17:57:34,Пустая шоколадина,"Свердловск, Свердловская область"
3/4/2019 18:11:19,"Соленый огурец. На полу валяется, никто его не съест",Москва
3/4/2019 18:12:10,Турецкий барабан. Кто на нём играет - рыжий таракан,Москва
3/4/2019 18:16:11,Солёный огурец,Екатеринбург
3/4/2019 18:45:56,"Соленый огурец, сахаром посыпана, никто тебя не ест",Тюмень
3/4/2019 19:04:44,"Соленый огурец, на полу валяется никто его не ест",Новосибирск
3/4/2019 19:05:11,"Соленый огурец, на полу валяется никто ее не ест","Г. Саки, Республика Крым "
3/4/2019 19:05:57,Жопа-шоколадина,Нальчик
3/4/2019 19:40:51,"Солёный огурец. Ты никому не нравишься, никто тебя не съест",Томск
3/4/2019 20:16:04,"Соленый огурец, на полу валяется, никто его не ест",Одинцово Московской области
3/4/2019 20:23:14,"соленый огурец, по полу валяется, никто его не ест","Харьков, украина"
3/4/2019 21:59:10,"Соленый огурец, на полу валяется – никто его не ест",Владикавказ
3/4/2019 22:02:42,...ела шоколад.,Гатчина
3/4/2019 22:29:53,солёный огурец,Серпухов
3/4/2019 23:01:02,"соленый огурец. На полу валяется, никто ее не ест.","г. Комсомольск-на-Амуре, Хабаровский край"
3/4/2019 23:28:08,"Солёный огурец, на полу валяется, н кто её не ест",Петербург
3/4/2019 23:47:57,Турецкий барабан. Кто на нем играет - противный таракан.,Москва
3/4/2019 23:53:13,"Соленый огурец, никому не нравится, никто его не ест. ",Актюбинск
3/4/2019 23:55:59,Соленый огурец,"Самарская область, Тольятти"
3/4/2019 23:57:42,"Соленый огурец, на полу валяется, никто его не ест","Тольятти, Самарская обл"
3/5/2019 0:05:35,Соленый огурец,Карелия. Костомукша
3/5/2019 2:08:37,"Соленый огурец, на полу валяется — никто его не ест","Костромская область, г. Волгореченск"
3/5/2019 2:42:20,Солёный огурец. На полу валяется никто тебя не ест,Новосибирск
3/5/2019 3:45:22,"соленый огурец. На полу валяется, никто его не ест. Муха прилетела, понюхала и съела.",Ростов-на-Дону
3/5/2019 7:12:19,"Соленый огурец, на полу валяется, никто его не ест.","Ашхабад, Туркменистан"
3/5/2019 8:26:12,Турецкий барабан,Москва
3/5/2019 9:08:06,Соленый огурец,Ставропольский край
3/5/2019 9:11:08,"Соленый огурец, на полу валяется - никто его не ест ",Московская область
3/5/2019 9:28:08,кусок шоколадины,Киев
3/5/2019 9:31:49,"Пустая шоколадина, шоколадку съела, пузо заболело",Г.Ангарск Иркутской области
3/5/2019 9:37:09,Соленый огурец,Санкт Петербург
3/5/2019 10:22:14,Соленый огурец,Севастополь
3/5/2019 11:23:47,"солёный огурец, на полу валяется, никто его не ест.",г.Харовск (Вологда)
3/5/2019 11:25:08,)) в попе шоколадина,г.Харовск
3/5/2019 11:29:26,Соленый огурец по полу валяется никто его не ест,"Купино, Новосибирская область"
3/5/2019 11:51:24,"...зеленый огурец, на полу валяется никто его не ест.",Москва
3/5/2019 12:04:43,"соленый огурец,сахаром посыпанный,никто его не ест.","Сургут,Тюменская обл."
3/5/2019 12:06:49,"... соленый огурец, на полу валяется, никто его не ест",Ярославль
3/5/2019 12:09:36,соленый огурец,"Якутск, Саха"
3/5/2019 12:43:27,Соленый огурец,Калининград
3/5/2019 12:57:51,"соленый огурец на полу валяется, никто его не ест",Сызрань
3/5/2019 13:17:32,"Соленый огурец, по полу валяется, никто его не ест",г. Норильск
3/5/2019 13:19:15,"Соленый огурец, по полу валяется, никто его не ест",г. Норильск
3/5/2019 13:32:38,"Солёный огурец, на полу валяется никто его не ест. Муха прилетела, понюхала и съела.","Орловская область, посёлок Знаменка"
3/5/2019 13:43:55,"Зелёный огурец, на полу валяется, никто его не ест","Хмельницкий, укУкраи"
3/5/2019 13:44:15,"Турецкий барабан, кто на нем играет - тот и наркоман.",Москва
3/5/2019 13:46:44,"...солёный огурец, по полу валяется, никто его не ест.",Хабаровск
3/5/2019 13:47:24,соленый огурец,Чебоксары
3/5/2019 13:50:29,в жопе шоколадина,Чебоксары
3/5/2019 13:50:38,"солёный огурец. Под столом валяется, никто его не ест","Магнитогорск, Челябинская область"
3/5/2019 13:54:17,солёный огурец. На улице валяется -  никто его не ест.,Новосибирск
3/5/2019 13:55:27,"соленый огурец, на полу валяется, никто его не ест.","Новосибирская обл., г. Новосибирск."
3/5/2019 14:14:28,"Солёный огурец, на полу валяется, никто его не ест
Пустая шоколадина","Каменск - Уральский, Свердловская обл "
3/5/2019 14:40:57,В попе шоколадина,"Г. Стерлитамак, Республика Башкортостан "
3/5/2019 14:48:30,Соленый огурец,Санкт-Петербург
3/5/2019 14:50:52,"Солёный огурец, под столом валяется, никто её не ест ",Москва
3/5/2019 15:33:05,Солёный огурец,ЛО
3/5/2019 15:33:45,турецкий барабан,москва
3/5/2019 16:10:46,соленый огурец,Москва
3/5/2019 16:20:30,"турецкий барабан, кто на нем играет, Х (Саша, Маша) таракан",Москва
3/5/2019 16:21:44,Турецкий барабан,Москва
3/5/2019 16:27:03,"Жадина-говядина — турецкий барабан, кто на нём играет (дальше не помню)","Москва, м. Проспект Вернадского"
3/5/2019 17:05:18,Большая шоколадина,"Сарапул, Удмуртская республика"
3/5/2019 17:35:56,турецкий барабан,Москва
3/5/2019 17:45:56,"Солёный огурец, по полу катается, никто его не ест!",Г Нижневартовск Тюменская обл
3/5/2019 18:03:26,"Соленый огурец, по полу валяется, никто его не ест.",Челябинск
3/5/2019 19:20:00,"Соленый огурец, по полу валяется, никто его не ест. Муха прилетала, понюхала и съела.","Приморский край, Партизанск"
3/5/2019 19:57:10,"Турецкий барабан, а кто на нём играет, тот Колька-таракан",Москва
3/5/2019 19:59:55,Соленый огурец,Тульская обл
3/5/2019 20:07:25,Соленый огурец,Москва
3/5/2019 20:20:41,Солёный огурец,Тула
3/5/2019 20:41:59,в жопе шоколадина!,"Архангельская область, город Коряжма"
3/5/2019 20:55:05,Турецкий барабан,Москва
3/5/2019 20:57:01,В попе шоколадина,"Нижнекамск, Татарстан"
3/5/2019 20:57:55,соленый огурец. На полу валяется никто его не ест,"Томск, Томская область"
3/5/2019 21:01:19,"Соленый огурец, на полу валяется - никто его не ест","Москва, Раменки"
3/5/2019 21:16:59,"соленный огурец, на полу валяется, никто его не есть ",СПБ
3/5/2019 21:17:08,кошка-поросятина,Избербаш р.Дагестан
3/5/2019 21:17:27,пустая шоколадина,"Псков, Псковская область"
3/5/2019 21:18:19,"солёный огурец, по полу валяется, никто его не есть, муха прилетела, понюхала и съела",Нижний Новгород
3/5/2019 21:22:46,"Холодный холодец, на мусорке валется никто его не ест",Ханты-Мансийск
3/5/2019 21:22:51,"Соленый огурец, по полу валяется, никто его не ест","ЕАО, г.Биробиджан"
3/5/2019 21:23:35,Пустая шоколадина,СПб
3/5/2019 21:28:50,Солёный огурец,"Барнаул, Алтайский край "
3/5/2019 21:30:40,"Соленый огурец на полу валяется, никто его не ест",Краснодарский край
3/5/2019 21:30:44,"Солёный огурец! По полу валяется, никто его не ест! Муха прилетела, понюхала и съела) ",
3/5/2019 21:32:57,"Соленый огурец, на полу валяется, никто его не ест. Муха прилетела, понюхала и съела",Рязанская область
3/5/2019 21:35:44,"Соленый огурец,по полу валяется,никто его не ест,муха подбежала,понюхала и съела.","Парковое,республика Крым"
3/5/2019 21:37:43,"соленый огурец, на полу валяется, никто его не ест",оренбург
3/5/2019 21:38:51,"- солёный огурец! На полу валяется, никто его не ест","Чебоксары, Чувашская Республика"
3/5/2019 21:52:31,"солёный огурец. на полу валяется, никто его не ест.",ебеня
3/5/2019 21:57:13,"турецкий барабан, а кто на нём играет — [имярек]-таракан",Московская область/Москва
3/5/2019 21:58:03,Соленый огурец,Северодвинск
3/5/2019 23:09:53,"Соленый огурец, на полу валяется, никто его не есть","Крым, ялта"
3/5/2019 23:12:31,"...турецкий барабан, кто на нём играет - Федька-таракан",Город Москва
3/5/2019 23:32:43,пустая шоколадна,"Мурманская область, г. Апатиты"
3/5/2019 23:42:17,"соленый огурец. на полу валяется, никто его не ест",Калуга
3/5/2019 23:49:44,"Соленый огурец, по полу валяется, никто его не ест",Ленинград
3/5/2019 23:56:07,Соленый огурец,Иркутская обл. г. Ангарск
3/6/2019 0:01:28,Соленый огурец,"Тула, Тульская область"
3/6/2019 0:10:54,Турецкий барабан,Москва Метро Щербаковская
3/6/2019 0:17:51,Соленый огурец. По полу валяется никто его не ест!,"Тольятти, Самарская обл."
3/6/2019 0:26:12,"Жадина-говядина солёный огурец. По полу качается, никто его не ест.",Светлогорск Республика Беларусь
3/6/2019 0:39:15,Пустая шоколадина.,Ленинград
3/6/2019 1:05:58,"Солёный огурец. По полу валчется, никто ее не ест.",Город Новосибирск
3/6/2019 1:07:40,"Солёный огурец, по полу валяется, никто ее не ест",Санкт-Петербург
3/6/2019 1:16:34,"Соленый огурец, на полу валяется никто его не ест.",Санкт-Петербург
